"hfpxzc href","qBF1Pd","MW4etd","UY7F9","AJB7ye","AJB7ye 2","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","FQ2IWe src","Jn12ke src","ah5Ghc","A1zNzb href","J8zHNe","bbPy1","ah5Ghc 2","ah5Ghc 3"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/BR+Burgers+Florida/data=!4m7!3m6!1s0x95bcb12ac7de2707:0x704423c3a2da747d!8m2!3d-34.526908!4d-58.4976617!16s%2Fg%2F11p0wr_gs_!19sChIJByfexyqxvJURfXTaosMjRHA?authuser=1&hl=es&rclk=1","BR Burgers Florida","4,6","(1016)","·","ARS 20-30 K","Hamburguesa","·","","·","DLC, Pres. Hipólito Yrigoyen 2483","Cerrado","· Abre a las 7 p.m.","https://lh3.googleusercontent.com/p/AF1QipOnado9MxmpHkyl-9kPdbg7bQ5NlyF43zg0Bzb0=w138-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Muy buena atención y muy buenas burgers, vale la pena ir a conocer""","https://www.google.com/viewer/chooseprovider?mid=/g/11p0wr_gs_&g2lbs=AIBNGdW2nK_TLh7-tuX7vB0WyclORSNQbMi9eteD9AztOFJwipnTYZ0Qe7MRd1YD7mJ54wNrk5f5rVJbegZFZIyjPyYZc-zctybh6JRMcq5WwM-4kdxJ-YU%3D&hl=es-US&gl=us&authuser=1&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=fTVtabvoG4mt0PEPrbDNwQU&ei=fTVtabvoG4mt0PEPrbDNwQU&fo_s=OA&opi=79508299&ebb=1&cs=0&foub=mcpp","Pedir en línea","","",""
"https://www.google.com/maps/place/La+Vaguesa/data=!4m7!3m6!1s0x95bccbd7b7df569d:0x3864cd663a7bf5a7!8m2!3d-34.526556!4d-58.4889726!16s%2Fg%2F11sv7vjj1p!19sChIJnVbft9fLvJURp_V7OmbNZDg?authuser=1&hl=es&rclk=1","La Vaguesa","4,7","(144)","·","ARS 10-20 K","Hamburguesa","·","","Gral. José de San Martín 1916","","Cerrado","· Abre a las 8 p.m.","https://lh3.googleusercontent.com/gps-proxy/ALd4DhHxzLwYkHwOcWEKcASIA_5rw1mnL6lLnz-CnFZGNDKHUI_b_4ANA6qpp-7_nIDImT__YisP5PUBPZpH2bNZGtkIHEiDWFetEOV7p_FhfQVXF8bgyVzr0zRgHadhdWeMZH18lur2JGFWDLKvK7AqmreHhO-Xke9fqntezf-2jhhnpNfiPpxd41YTSg=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Las","https://www.google.com/viewer/chooseprovider?mid=/g/11sv7vjj1p&g2lbs=AIBNGdUpgPY6NJ6csHoMb-Ne7a8erzdMcd-P_xxMNav9yd03T8BnnNg-HH_6oO5yqNOYp-V14ms35dT1bB8MhwWLpOfdsHmeMiS-rtCHIapU5LSVTcGxgTk%3D&hl=es-US&gl=us&authuser=1&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=fTVtabvoG4mt0PEPrbDNwQU&ei=fTVtabvoG4mt0PEPrbDNwQU&fo_s=OA&opi=79508299&ebb=1&cs=0&foub=mcpp","Pedir en línea","","hamburguesas","llegaron rapidísimo y con una excelente temperatura."""
"https://www.google.com/maps/place/El+Desembarco+Martinez/data=!4m7!3m6!1s0x95bcb1cacdb88eff:0x1b93075c0fb93be6!8m2!3d-34.4966032!4d-58.5376033!16s%2Fg%2F11mw7j2c80!19sChIJ_464zcqxvJUR5ju5D1wHkxs?authuser=1&hl=es&rclk=1","El Desembarco Martinez","4,6","(2931)","·","ARS 10-20 K","Hamburguesa","·","","·","Dardo Rocha 3004","Abierto","· Cierra a la 1 a.m.","https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzwPvi3u5bxNUVRYrBUv8qdFKsArnAhGpQvHuEjk8A-N6mpNbSiXhfYS5Nau7eak9YEiTL7sRporoRaEO1Opx_kJcfe-Z5TE6JjBvM60rfiEeY1HM6fWumdDPytkQmpAiKVjgfM=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Muy buenas","https://www.google.com/viewer/chooseprovider?mid=/g/11mw7j2c80&g2lbs=AIBNGdXDWnZewBRjOjaTUtrwxhDlglgSd2Fh-QbU3RYyDahoC7gtPC4vDTwZmICC75k6QU2orF1bAE8hVm-knNJfkX2ufNdLVjparAyYJZiKRS9jLeNfOvs%3D&hl=es-US&gl=us&authuser=1&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=fTVtabvoG4mt0PEPrbDNwQU&ei=fTVtabvoG4mt0PEPrbDNwQU&fo_s=OA&opi=79508299&ebb=1&cs=0&foub=mcpp","Pedir en línea","","hamburguesas",", atención y calidad de los ingredientes!"""
"https://www.google.com/maps/place/Big+Daddys+Burgers/data=!4m7!3m6!1s0x95bcb713d7775b05:0xaaeb0aece93fac88!8m2!3d-34.5355595!4d-58.5090165!16s%2Fg%2F11qgdg950b!19sChIJBVt31xO3vJURiKw_6ewK66o?authuser=1&hl=es&rclk=1","Big Daddys Burgers","4,8","(264)","·","ARS 10-20 K","Hamburguesa","·","","·","Av. Bartolomé Mitre 1586 Florida Oeste","Cerrado","· Abre a las 8 p.m.","https://lh3.googleusercontent.com/p/AF1QipMi4CcN9DYBidMJ3Oj_SKZrW4kT1SSlvvFpAcZR=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Muy buenas","https://www.google.com/viewer/chooseprovider?mid=/g/11qgdg950b&g2lbs=AIBNGdXSdhlgBiIj2GRnqmyvNFfZ0xV15pFwzLv6jFCF0YH734kOhukKqI0dq-8D5ND9PXoO72yZQvsQl6Jez_oAyK8txRX1gdkk6iSiwzTmOMWl2oS_DQg%3D&hl=es-US&gl=us&authuser=1&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=fTVtabvoG4mt0PEPrbDNwQU&ei=fTVtabvoG4mt0PEPrbDNwQU&fo_s=OA&opi=79508299&ebb=1&cs=0&foub=mcpp","Pedir en línea","","hamburguesas",", buena calidad aprobado 100% el precio razonable."""
"https://www.google.com/maps/place/Burger+club+olivos/data=!4m7!3m6!1s0x95bcb128114b06bf:0x3b0b14338ae7067e!8m2!3d-34.5162227!4d-58.496367!16s%2Fg%2F11tt94xgwp!19sChIJvwZLESixvJURfgbnijMUCzs?authuser=1&hl=es&rclk=1","Burger club olivos","4,7","(257)","","","Hamburguesa","·","","Chacabuco 2519","","Cerrado","· Abre a las 8 p.m.","https://lh3.googleusercontent.com/gps-proxy/ALd4DhGQsH6habtwk_8PsyP0HTyFpZzCgYhnKR6WHCDr5kNKNNwsRUAJYl_yvWHWZrfyhUjyG12EniNVEE4RMwIzhASB9ycBk5pfv5EHJiXUGf_-ljxwvm7gWitvjTvFBlLsA9D_7VFqe2TT-c5h5xsYqIwFZ9LJ1b0wXCHaIPxrMMRB83WAA3Nbs-DcZg=w123-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Muy ricas","https://www.google.com/viewer/chooseprovider?mid=/g/11tt94xgwp&g2lbs=AIBNGdXZmzrzIrAldNg4L-bwJ10CKkCkv1R2zWT79Yyg_4a9b_ovZME5UHD6t7fQO7Q8DYabVmWrGGkr-pkBSvLvj8JAqFun2Js1bOcwD8lA30YAAY_u_rA%3D&hl=es-US&gl=us&authuser=1&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=fTVtabvoG4mt0PEPrbDNwQU&ei=fTVtabvoG4mt0PEPrbDNwQU&fo_s=OA&opi=79508299&ebb=1&cs=0&foub=mcpp","Pedir en línea","","hamburguesas",", excelente atención y cuidado al cliente."""
"https://www.google.com/maps/place/Viva+Burga/data=!4m7!3m6!1s0x95bcb1000cce20fb:0x46c8c39ad29dd081!8m2!3d-34.5246659!4d-58.4836098!16s%2Fg%2F11x27nhhds!19sChIJ-yDODACxvJURgdCd0prDyEY?authuser=1&hl=es&rclk=1","Viva Burga","4,6","(120)","","","Hamburguesa","·","","Av. Maipú 1452","","","","https://lh3.googleusercontent.com/gps-proxy/ALd4DhESoknoUywFkekLt8V9nYaV87Eab5Rk1qkZ_5nzrWjlH0j4fB4Ck3KhPCuJJKZWslWr8FMAvD4zMOLmKWlY6Mml3u9sGT8p2Q5-ePx-UiaFDQ23PkO14Z0LSY6PS2q67td-tV56narcIVTlbyqxXSlj3yYwWdrQ1Qg3psg7VirA6Whn-ULVdosY=w123-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""nos pedimos una cheeseburger doble y pampeana simple  increibles.""","https://www.google.com/viewer/chooseprovider?mid=/g/11x27nhhds&g2lbs=AIBNGdWDeZ3JOgwz85uZSB4RzHaRc2hbaeDkaLZretcM_bZc_o6agpup0oNp3cOXBP0gIkmF-2mbGnR7wK0kJvEb0WGpojb-GjDaOqxyARX22zEUHLWiW9A%3D&hl=es-US&gl=us&authuser=1&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=fTVtabvoG4mt0PEPrbDNwQU&ei=fTVtabvoG4mt0PEPrbDNwQU&fo_s=OA&opi=79508299&ebb=1&cs=0&foub=mcpp","Pedir en línea","","",""
"https://www.google.com/maps/place/TBH+-+The+Burgerhaus/data=!4m7!3m6!1s0x95bcb15af13a56fd:0xc2d31f128ce52ff7!8m2!3d-34.5240817!4d-58.4833599!16s%2Fg%2F11k3nfjf9h!19sChIJ_VY68VqxvJUR9y_ljBIf08I?authuser=1&hl=es&rclk=1","TBH - The Burgerhaus","4,4","(787)","·","ARS 10-20 K","Hamburguesa","·","","ABB, Av. Maipú 1475","","Cerrado","· Abre a las 6 p.m.","https://lh3.googleusercontent.com/p/AF1QipOtgrbw4WAXH6MCauBacp3pn8P_7NKh5__VPqdn=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pedimos 2","https://www.google.com/viewer/chooseprovider?mid=/g/11k3nfjf9h&g2lbs=AIBNGdUHFpv_0w7x33GqV6gKy3MbhpnOjR2JE3NUKTuo3vINrXzWikQtr28pBBd1Eq_PuOrNEDXrpwbs0K5Kk4D6uG-D9-cRjcR_tbLX3lvtam3uIVucwh8%3D&hl=es-US&gl=us&authuser=1&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=fTVtabvoG4mt0PEPrbDNwQU&ei=fTVtabvoG4mt0PEPrbDNwQU&fo_s=OA&opi=79508299&ebb=1&cs=0&foub=mcpp","Pedir en línea","","hamburguesas",", estaban muy buenas, incluyen papas."""
"https://www.google.com/maps/place/TBH+-+The+Burgerhaus/data=!4m7!3m6!1s0x95bcb15af13a56fd:0xc2d31f128ce52ff7!8m2!3d-34.5240817!4d-58.4833599!16s%2Fg%2F11k3nfjf9h!19sChIJ_VY68VqxvJUR9y_ljBIf08I?authuser=1&hl=es&rclk=1","TBH - The Burgerhaus","4,4","(787)","·","ARS 10-20 K","Hamburguesa","·","","ABB, Av. Maipú 1475","Cerrado","· Abre a las 6 p.m.","","https://lh3.googleusercontent.com/p/AF1QipOtgrbw4WAXH6MCauBacp3pn8P_7NKh5__VPqdn=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pedimos 2","https://www.google.com/viewer/chooseprovider?mid=/g/11k3nfjf9h&g2lbs=AIBNGdUHFpv_0w7x33GqV6gKy3MbhpnOjR2JE3NUKTuo3vINrXzWikQtr28pBBd1Eq_PuOrNEDXrpwbs0K5Kk4D6uG-D9-cRjcR_tbLX3lvtam3uIVucwh8%3D&hl=es-US&gl=us&authuser=1&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=fTVtabvoG4mt0PEPrbDNwQU&ei=fTVtabvoG4mt0PEPrbDNwQU&fo_s=OA&opi=79508299&ebb=1&cs=0&foub=mcpp","Pedir en línea","","hamburguesas",", estaban muy buenas, incluyen papas."""
